EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
-10,-7,-3,-2,-3,-7,-31,-8,C
7,6,0,1,4,5,5,9,C
-2,-2,0,0,-1,-1,10,2,C
-3,4,-1,1,1,2,0,-4,C
1,-10,-1,-1,-3,-2,-8,-2,C
-8,1,-2,-4,-3,-5,-29,-14,C
-8,-1,-1,-2,-2,0,28,-5,C
11,-3,0,2,-4,-4,-8,10,C
-6,-1,-3,-1,-2,-2,-5,-3,C
3,-1,2,1,-2,-8,-3,2,C
5,0,-2,-2,0,5,24,0,C
-6,-2,-4,-1,-3,-3,-27,-8,C
-2,0,-3,-4,-2,1,12,-4,C
-2,3,0,-2,-2,-1,22,7,C
-2,-10,-2,1,2,7,-19,-3,C
-4,-2,2,0,-5,-11,1,-4,C
-3,2,1,1,0,3,-16,5,C
10,-10,2,0,4,9,20,15,C
-3,12,1,0,-2,-6,10,-2,C
0,-3,-4,-2,2,2,-22,-5,C
1,2,-2,1,0,-6,-10,1,C
-3,-6,-2,-2,-1,10,21,-2,C
0,-3,0,0,1,0,-2,-6,C
2,-1,-4,-2,-1,-10,-7,-3,C
-11,-1,4,-2,-7,-8,4,-5,C
-2,3,-1,1,1,0,6,-1,C
-3,-5,-2,0,0,3,-31,-3,C
-6,-1,0,0,-1,1,15,3,C
23,-1,2,-1,2,10,23,7,C
-1,2,-2,-2,-5,-8,7,-3,C
-5,1,0,-1,-1,-11,-9,6,C
-5,-12,-1,1,2,11,24,-4,C
3,3,-3,-1,0,-4,-20,-6,C
10,3,-2,-2,-3,1,-14,4,C
3,-4,-1,-1,-3,-5,16,-1,C
-12,1,2,0,1,-8,-20,-4,C
-3,-2,0,1,4,24,44,4,C
5,3,-1,0,-1,-7,-12,-10,C
4,-3,-4,-4,-4,-3,-12,3,C
-2,1,-1,1,0,-3,-2,-3,C
0,-3,1,-2,-1,-7,-11,-4,C
-8,-11,-2,2,-4,-4,-35,-8,C
4,7,-1,-4,-8,-6,30,-2,C
0,2,-3,-1,1,3,24,7,C
